Results for vocabulary with just adj

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.002,     0.002,     0.002
Ground Truth,Prediction,        CI,     Error
     0.025,     0.012,     0.005,     0.013
Ground Truth,Prediction,        CI,     Error
     0.050,     0.020,     0.007,     0.030
Ground Truth,Prediction,        CI,     Error
     0.075,     0.034,     0.007,     0.041
Ground Truth,Prediction,        CI,     Error
     0.100,     0.047,     0.008,     0.053
Ground Truth,Prediction,        CI,     Error
     0.125,     0.056,     0.008,     0.069
Ground Truth,Prediction,        CI,     Error
     0.150,     0.076,     0.009,     0.074
Ground Truth,Prediction,        CI,     Error
     0.175,     0.089,     0.009,     0.086
Ground Truth,Prediction,        CI,     Error
     0.200,     0.101,     0.010,     0.099
Ground Truth,Prediction,        CI,     Error
     0.225,     0.113,     0.011,     0.112
Ground Truth,Prediction,        CI,     Error
     0.250,     0.137,     0.012,     0.113
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.010,     0.006,     0.010
Ground Truth,Prediction,        CI,     Error
     0.025,     0.010,     0.006,     0.015
Ground Truth,Prediction,        CI,     Error
     0.050,     0.021,     0.006,     0.029
Ground Truth,Prediction,        CI,     Error
     0.075,     0.028,     0.007,     0.047
Ground Truth,Prediction,        CI,     Error
     0.100,     0.047,     0.008,     0.053
Ground Truth,Prediction,        CI,     Error
     0.125,     0.057,     0.009,     0.068
Ground Truth,Prediction,        CI,     Error
     0.150,     0.078,     0.010,     0.072
Ground Truth,Prediction,        CI,     Error
     0.175,     0.093,     0.011,     0.082
Ground Truth,Prediction,        CI,     Error
     0.200,     0.109,     0.011,     0.091
Ground Truth,Prediction,        CI,     Error
     0.225,     0.130,     0.012,     0.095
Ground Truth,Prediction,        CI,     Error
     0.250,     0.146,     0.012,     0.104
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.013,     0.004,     0.013
Ground Truth,Prediction,        CI,     Error
     0.025,     0.031,     0.006,     0.006
Ground Truth,Prediction,        CI,     Error
     0.050,     0.055,     0.007,     0.005
Ground Truth,Prediction,        CI,     Error
     0.075,     0.070,     0.008,     0.005
Ground Truth,Prediction,        CI,     Error
     0.100,     0.087,     0.008,     0.013
Ground Truth,Prediction,        CI,     Error
     0.125,     0.114,     0.009,     0.011
Ground Truth,Prediction,        CI,     Error
     0.150,     0.131,     0.010,     0.019
Ground Truth,Prediction,        CI,     Error
     0.175,     0.149,     0.011,     0.026
Ground Truth,Prediction,        CI,     Error
     0.200,     0.176,     0.011,     0.024
Ground Truth,Prediction,        CI,     Error
     0.225,     0.197,     0.011,     0.028
Ground Truth,Prediction,        CI,     Error
     0.250,     0.215,     0.012,     0.035
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.006,     0.005,     0.006
Ground Truth,Prediction,        CI,     Error
     0.025,     0.020,     0.007,     0.005
Ground Truth,Prediction,        CI,     Error
     0.050,     0.038,     0.008,     0.012
Ground Truth,Prediction,        CI,     Error
     0.075,     0.046,     0.008,     0.029
Ground Truth,Prediction,        CI,     Error
     0.100,     0.073,     0.010,     0.027
Ground Truth,Prediction,        CI,     Error
     0.125,     0.091,     0.010,     0.034
Ground Truth,Prediction,        CI,     Error
     0.150,     0.111,     0.011,     0.039
Ground Truth,Prediction,        CI,     Error
     0.175,     0.117,     0.012,     0.058
Ground Truth,Prediction,        CI,     Error
     0.200,     0.132,     0.012,     0.068
Ground Truth,Prediction,        CI,     Error
     0.225,     0.153,     0.012,     0.072
Ground Truth,Prediction,        CI,     Error
     0.250,     0.177,     0.013,     0.073
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.019,     0.007,     0.019
Ground Truth,Prediction,        CI,     Error
     0.025,     0.036,     0.008,     0.011
Ground Truth,Prediction,        CI,     Error
     0.050,     0.053,     0.010,     0.003
Ground Truth,Prediction,        CI,     Error
     0.075,     0.080,     0.010,     0.005
Ground Truth,Prediction,        CI,     Error
     0.100,     0.073,     0.010,     0.027
Ground Truth,Prediction,        CI,     Error
     0.125,     0.104,     0.011,     0.021
Ground Truth,Prediction,        CI,     Error
     0.150,     0.126,     0.012,     0.024
Ground Truth,Prediction,        CI,     Error
     0.175,     0.137,     0.012,     0.038
Ground Truth,Prediction,        CI,     Error
     0.200,     0.164,     0.013,     0.036
Ground Truth,Prediction,        CI,     Error
     0.225,     0.170,     0.013,     0.055
Ground Truth,Prediction,        CI,     Error
     0.250,     0.197,     0.014,     0.053
=====================================
