Results for vocabulary with just adv

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.042,     0.008,     0.042
Ground Truth,Prediction,        CI,     Error
     0.025,     0.065,     0.009,     0.040
Ground Truth,Prediction,        CI,     Error
     0.050,     0.081,     0.009,     0.031
Ground Truth,Prediction,        CI,     Error
     0.075,     0.102,     0.010,     0.027
Ground Truth,Prediction,        CI,     Error
     0.100,     0.130,     0.010,     0.030
Ground Truth,Prediction,        CI,     Error
     0.125,     0.151,     0.011,     0.026
Ground Truth,Prediction,        CI,     Error
     0.150,     0.185,     0.011,     0.035
Ground Truth,Prediction,        CI,     Error
     0.175,     0.199,     0.012,     0.024
Ground Truth,Prediction,        CI,     Error
     0.200,     0.224,     0.012,     0.024
Ground Truth,Prediction,        CI,     Error
     0.225,     0.253,     0.012,     0.028
Ground Truth,Prediction,        CI,     Error
     0.250,     0.276,     0.012,     0.026
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.050,     0.008,     0.050
Ground Truth,Prediction,        CI,     Error
     0.025,     0.075,     0.009,     0.050
Ground Truth,Prediction,        CI,     Error
     0.050,     0.093,     0.010,     0.043
Ground Truth,Prediction,        CI,     Error
     0.075,     0.120,     0.010,     0.045
Ground Truth,Prediction,        CI,     Error
     0.100,     0.140,     0.010,     0.040
Ground Truth,Prediction,        CI,     Error
     0.125,     0.167,     0.012,     0.042
Ground Truth,Prediction,        CI,     Error
     0.150,     0.186,     0.011,     0.036
Ground Truth,Prediction,        CI,     Error
     0.175,     0.210,     0.011,     0.035
Ground Truth,Prediction,        CI,     Error
     0.200,     0.231,     0.012,     0.031
Ground Truth,Prediction,        CI,     Error
     0.225,     0.255,     0.012,     0.030
Ground Truth,Prediction,        CI,     Error
     0.250,     0.281,     0.013,     0.031
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.031,     0.008,     0.031
Ground Truth,Prediction,        CI,     Error
     0.025,     0.062,     0.008,     0.037
Ground Truth,Prediction,        CI,     Error
     0.050,     0.098,     0.010,     0.048
Ground Truth,Prediction,        CI,     Error
     0.075,     0.127,     0.011,     0.052
Ground Truth,Prediction,        CI,     Error
     0.100,     0.153,     0.011,     0.053
Ground Truth,Prediction,        CI,     Error
     0.125,     0.180,     0.011,     0.055
Ground Truth,Prediction,        CI,     Error
     0.150,     0.212,     0.011,     0.062
Ground Truth,Prediction,        CI,     Error
     0.175,     0.224,     0.012,     0.049
Ground Truth,Prediction,        CI,     Error
     0.200,     0.265,     0.012,     0.065
Ground Truth,Prediction,        CI,     Error
     0.225,     0.285,     0.012,     0.060
Ground Truth,Prediction,        CI,     Error
     0.250,     0.316,     0.012,     0.066
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.066,     0.009,     0.066
Ground Truth,Prediction,        CI,     Error
     0.025,     0.102,     0.010,     0.077
Ground Truth,Prediction,        CI,     Error
     0.050,     0.128,     0.010,     0.078
Ground Truth,Prediction,        CI,     Error
     0.075,     0.146,     0.011,     0.071
Ground Truth,Prediction,        CI,     Error
     0.100,     0.177,     0.011,     0.077
Ground Truth,Prediction,        CI,     Error
     0.125,     0.203,     0.012,     0.078
Ground Truth,Prediction,        CI,     Error
     0.150,     0.230,     0.012,     0.080
Ground Truth,Prediction,        CI,     Error
     0.175,     0.250,     0.012,     0.075
Ground Truth,Prediction,        CI,     Error
     0.200,     0.274,     0.013,     0.074
Ground Truth,Prediction,        CI,     Error
     0.225,     0.308,     0.012,     0.083
Ground Truth,Prediction,        CI,     Error
     0.250,     0.333,     0.012,     0.083
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.037,     0.007,     0.037
Ground Truth,Prediction,        CI,     Error
     0.025,     0.071,     0.009,     0.046
Ground Truth,Prediction,        CI,     Error
     0.050,     0.087,     0.009,     0.037
Ground Truth,Prediction,        CI,     Error
     0.075,     0.107,     0.010,     0.032
Ground Truth,Prediction,        CI,     Error
     0.100,     0.135,     0.011,     0.035
Ground Truth,Prediction,        CI,     Error
     0.125,     0.158,     0.010,     0.033
Ground Truth,Prediction,        CI,     Error
     0.150,     0.172,     0.011,     0.022
Ground Truth,Prediction,        CI,     Error
     0.175,     0.194,     0.011,     0.019
Ground Truth,Prediction,        CI,     Error
     0.200,     0.225,     0.012,     0.025
Ground Truth,Prediction,        CI,     Error
     0.225,     0.251,     0.012,     0.026
Ground Truth,Prediction,        CI,     Error
     0.250,     0.283,     0.012,     0.033
=====================================
