Results for vocabulary with just verb

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.025,     0.009,     0.025
Ground Truth,Prediction,        CI,     Error
     0.025,     0.054,     0.011,     0.029
Ground Truth,Prediction,        CI,     Error
     0.050,     0.078,     0.013,     0.028
Ground Truth,Prediction,        CI,     Error
     0.075,     0.095,     0.014,     0.020
Ground Truth,Prediction,        CI,     Error
     0.100,     0.105,     0.014,     0.005
Ground Truth,Prediction,        CI,     Error
     0.125,     0.127,     0.014,     0.002
Ground Truth,Prediction,        CI,     Error
     0.150,     0.152,     0.015,     0.002
Ground Truth,Prediction,        CI,     Error
     0.175,     0.181,     0.016,     0.006
Ground Truth,Prediction,        CI,     Error
     0.200,     0.205,     0.018,     0.005
Ground Truth,Prediction,        CI,     Error
     0.225,     0.196,     0.017,     0.029
Ground Truth,Prediction,        CI,     Error
     0.250,     0.237,     0.018,     0.013
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.115,     0.019,     0.115
Ground Truth,Prediction,        CI,     Error
     0.025,     0.157,     0.020,     0.132
Ground Truth,Prediction,        CI,     Error
     0.050,     0.186,     0.021,     0.136
Ground Truth,Prediction,        CI,     Error
     0.075,     0.212,     0.022,     0.137
Ground Truth,Prediction,        CI,     Error
     0.100,     0.241,     0.021,     0.141
Ground Truth,Prediction,        CI,     Error
     0.125,     0.266,     0.022,     0.141
Ground Truth,Prediction,        CI,     Error
     0.150,     0.299,     0.022,     0.149
Ground Truth,Prediction,        CI,     Error
     0.175,     0.328,     0.023,     0.153
Ground Truth,Prediction,        CI,     Error
     0.200,     0.374,     0.022,     0.174
Ground Truth,Prediction,        CI,     Error
     0.225,     0.372,     0.024,     0.147
Ground Truth,Prediction,        CI,     Error
     0.250,     0.429,     0.024,     0.179
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.112,     0.012,     0.112
Ground Truth,Prediction,        CI,     Error
     0.025,     0.164,     0.013,     0.139
Ground Truth,Prediction,        CI,     Error
     0.050,     0.200,     0.013,     0.150
Ground Truth,Prediction,        CI,     Error
     0.075,     0.242,     0.013,     0.167
Ground Truth,Prediction,        CI,     Error
     0.100,     0.277,     0.013,     0.177
Ground Truth,Prediction,        CI,     Error
     0.125,     0.315,     0.013,     0.190
Ground Truth,Prediction,        CI,     Error
     0.150,     0.348,     0.014,     0.198
Ground Truth,Prediction,        CI,     Error
     0.175,     0.384,     0.014,     0.209
Ground Truth,Prediction,        CI,     Error
     0.200,     0.416,     0.014,     0.216
Ground Truth,Prediction,        CI,     Error
     0.225,     0.441,     0.013,     0.216
Ground Truth,Prediction,        CI,     Error
     0.250,     0.470,     0.013,     0.220
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.035,     0.008,     0.035
Ground Truth,Prediction,        CI,     Error
     0.025,     0.059,     0.010,     0.034
Ground Truth,Prediction,        CI,     Error
     0.050,     0.094,     0.011,     0.044
Ground Truth,Prediction,        CI,     Error
     0.075,     0.112,     0.012,     0.037
Ground Truth,Prediction,        CI,     Error
     0.100,     0.134,     0.011,     0.034
Ground Truth,Prediction,        CI,     Error
     0.125,     0.158,     0.012,     0.033
Ground Truth,Prediction,        CI,     Error
     0.150,     0.192,     0.014,     0.042
Ground Truth,Prediction,        CI,     Error
     0.175,     0.210,     0.013,     0.035
Ground Truth,Prediction,        CI,     Error
     0.200,     0.237,     0.015,     0.037
Ground Truth,Prediction,        CI,     Error
     0.225,     0.262,     0.014,     0.037
Ground Truth,Prediction,        CI,     Error
     0.250,     0.296,     0.016,     0.046
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.053,     0.011,     0.053
Ground Truth,Prediction,        CI,     Error
     0.025,     0.081,     0.013,     0.056
Ground Truth,Prediction,        CI,     Error
     0.050,     0.101,     0.014,     0.051
Ground Truth,Prediction,        CI,     Error
     0.075,     0.140,     0.015,     0.065
Ground Truth,Prediction,        CI,     Error
     0.100,     0.167,     0.015,     0.067
Ground Truth,Prediction,        CI,     Error
     0.125,     0.193,     0.016,     0.068
Ground Truth,Prediction,        CI,     Error
     0.150,     0.223,     0.017,     0.073
Ground Truth,Prediction,        CI,     Error
     0.175,     0.241,     0.016,     0.066
Ground Truth,Prediction,        CI,     Error
     0.200,     0.272,     0.016,     0.072
Ground Truth,Prediction,        CI,     Error
     0.225,     0.286,     0.016,     0.061
Ground Truth,Prediction,        CI,     Error
     0.250,     0.319,     0.017,     0.069
=====================================
