Results for vocabulary with just adj

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.014,     0.005,     0.014
Ground Truth,Prediction,        CI,     Error
     0.025,     0.031,     0.007,     0.006
Ground Truth,Prediction,        CI,     Error
     0.050,     0.039,     0.007,     0.011
Ground Truth,Prediction,        CI,     Error
     0.075,     0.053,     0.009,     0.022
Ground Truth,Prediction,        CI,     Error
     0.100,     0.073,     0.009,     0.027
Ground Truth,Prediction,        CI,     Error
     0.125,     0.084,     0.009,     0.041
Ground Truth,Prediction,        CI,     Error
     0.150,     0.106,     0.010,     0.044
Ground Truth,Prediction,        CI,     Error
     0.175,     0.122,     0.010,     0.053
Ground Truth,Prediction,        CI,     Error
     0.200,     0.135,     0.011,     0.065
Ground Truth,Prediction,        CI,     Error
     0.225,     0.148,     0.012,     0.077
Ground Truth,Prediction,        CI,     Error
     0.250,     0.176,     0.013,     0.074
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.024,     0.007,     0.024
Ground Truth,Prediction,        CI,     Error
     0.025,     0.028,     0.007,     0.003
Ground Truth,Prediction,        CI,     Error
     0.050,     0.046,     0.008,     0.004
Ground Truth,Prediction,        CI,     Error
     0.075,     0.055,     0.008,     0.020
Ground Truth,Prediction,        CI,     Error
     0.100,     0.077,     0.009,     0.023
Ground Truth,Prediction,        CI,     Error
     0.125,     0.092,     0.010,     0.033
Ground Truth,Prediction,        CI,     Error
     0.150,     0.114,     0.010,     0.036
Ground Truth,Prediction,        CI,     Error
     0.175,     0.135,     0.011,     0.040
Ground Truth,Prediction,        CI,     Error
     0.200,     0.152,     0.011,     0.048
Ground Truth,Prediction,        CI,     Error
     0.225,     0.175,     0.012,     0.050
Ground Truth,Prediction,        CI,     Error
     0.250,     0.194,     0.012,     0.056
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.006,     0.003,     0.006
Ground Truth,Prediction,        CI,     Error
     0.025,     0.018,     0.004,     0.007
Ground Truth,Prediction,        CI,     Error
     0.050,     0.035,     0.005,     0.015
Ground Truth,Prediction,        CI,     Error
     0.075,     0.049,     0.006,     0.026
Ground Truth,Prediction,        CI,     Error
     0.100,     0.063,     0.006,     0.037
Ground Truth,Prediction,        CI,     Error
     0.125,     0.083,     0.007,     0.042
Ground Truth,Prediction,        CI,     Error
     0.150,     0.096,     0.007,     0.054
Ground Truth,Prediction,        CI,     Error
     0.175,     0.114,     0.008,     0.061
Ground Truth,Prediction,        CI,     Error
     0.200,     0.135,     0.008,     0.065
Ground Truth,Prediction,        CI,     Error
     0.225,     0.154,     0.009,     0.071
Ground Truth,Prediction,        CI,     Error
     0.250,     0.168,     0.009,     0.082
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.009,     0.005,     0.009
Ground Truth,Prediction,        CI,     Error
     0.025,     0.024,     0.006,     0.001
Ground Truth,Prediction,        CI,     Error
     0.050,     0.041,     0.007,     0.009
Ground Truth,Prediction,        CI,     Error
     0.075,     0.053,     0.008,     0.022
Ground Truth,Prediction,        CI,     Error
     0.100,     0.076,     0.009,     0.024
Ground Truth,Prediction,        CI,     Error
     0.125,     0.098,     0.009,     0.027
Ground Truth,Prediction,        CI,     Error
     0.150,     0.119,     0.011,     0.031
Ground Truth,Prediction,        CI,     Error
     0.175,     0.122,     0.011,     0.053
Ground Truth,Prediction,        CI,     Error
     0.200,     0.140,     0.012,     0.060
Ground Truth,Prediction,        CI,     Error
     0.225,     0.165,     0.012,     0.060
Ground Truth,Prediction,        CI,     Error
     0.250,     0.185,     0.013,     0.065
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.025,     0.007,     0.025
Ground Truth,Prediction,        CI,     Error
     0.025,     0.043,     0.008,     0.018
Ground Truth,Prediction,        CI,     Error
     0.050,     0.060,     0.009,     0.010
Ground Truth,Prediction,        CI,     Error
     0.075,     0.091,     0.010,     0.016
Ground Truth,Prediction,        CI,     Error
     0.100,     0.090,     0.010,     0.010
Ground Truth,Prediction,        CI,     Error
     0.125,     0.118,     0.011,     0.007
Ground Truth,Prediction,        CI,     Error
     0.150,     0.143,     0.012,     0.007
Ground Truth,Prediction,        CI,     Error
     0.175,     0.151,     0.012,     0.024
Ground Truth,Prediction,        CI,     Error
     0.200,     0.183,     0.012,     0.017
Ground Truth,Prediction,        CI,     Error
     0.225,     0.193,     0.013,     0.032
Ground Truth,Prediction,        CI,     Error
     0.250,     0.221,     0.013,     0.029
=====================================
