Results for vocabulary with just adv

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.040,     0.008,     0.040
Ground Truth,Prediction,        CI,     Error
     0.025,     0.062,     0.009,     0.037
Ground Truth,Prediction,        CI,     Error
     0.050,     0.082,     0.009,     0.032
Ground Truth,Prediction,        CI,     Error
     0.075,     0.101,     0.009,     0.026
Ground Truth,Prediction,        CI,     Error
     0.100,     0.131,     0.010,     0.031
Ground Truth,Prediction,        CI,     Error
     0.125,     0.151,     0.010,     0.026
Ground Truth,Prediction,        CI,     Error
     0.150,     0.183,     0.010,     0.033
Ground Truth,Prediction,        CI,     Error
     0.175,     0.197,     0.011,     0.022
Ground Truth,Prediction,        CI,     Error
     0.200,     0.226,     0.012,     0.026
Ground Truth,Prediction,        CI,     Error
     0.225,     0.252,     0.011,     0.027
Ground Truth,Prediction,        CI,     Error
     0.250,     0.275,     0.012,     0.025
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.046,     0.008,     0.046
Ground Truth,Prediction,        CI,     Error
     0.025,     0.071,     0.008,     0.046
Ground Truth,Prediction,        CI,     Error
     0.050,     0.086,     0.009,     0.036
Ground Truth,Prediction,        CI,     Error
     0.075,     0.115,     0.010,     0.040
Ground Truth,Prediction,        CI,     Error
     0.100,     0.135,     0.010,     0.035
Ground Truth,Prediction,        CI,     Error
     0.125,     0.159,     0.010,     0.034
Ground Truth,Prediction,        CI,     Error
     0.150,     0.179,     0.011,     0.029
Ground Truth,Prediction,        CI,     Error
     0.175,     0.201,     0.011,     0.026
Ground Truth,Prediction,        CI,     Error
     0.200,     0.221,     0.011,     0.021
Ground Truth,Prediction,        CI,     Error
     0.225,     0.245,     0.012,     0.020
Ground Truth,Prediction,        CI,     Error
     0.250,     0.270,     0.011,     0.020
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.014,     0.005,     0.014
Ground Truth,Prediction,        CI,     Error
     0.025,     0.039,     0.006,     0.014
Ground Truth,Prediction,        CI,     Error
     0.050,     0.067,     0.008,     0.017
Ground Truth,Prediction,        CI,     Error
     0.075,     0.092,     0.009,     0.017
Ground Truth,Prediction,        CI,     Error
     0.100,     0.113,     0.009,     0.013
Ground Truth,Prediction,        CI,     Error
     0.125,     0.136,     0.010,     0.011
Ground Truth,Prediction,        CI,     Error
     0.150,     0.164,     0.010,     0.014
Ground Truth,Prediction,        CI,     Error
     0.175,     0.174,     0.011,     0.001
Ground Truth,Prediction,        CI,     Error
     0.200,     0.211,     0.011,     0.011
Ground Truth,Prediction,        CI,     Error
     0.225,     0.230,     0.011,     0.005
Ground Truth,Prediction,        CI,     Error
     0.250,     0.257,     0.012,     0.007
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.057,     0.008,     0.057
Ground Truth,Prediction,        CI,     Error
     0.025,     0.090,     0.009,     0.065
Ground Truth,Prediction,        CI,     Error
     0.050,     0.112,     0.009,     0.062
Ground Truth,Prediction,        CI,     Error
     0.075,     0.130,     0.011,     0.055
Ground Truth,Prediction,        CI,     Error
     0.100,     0.159,     0.011,     0.059
Ground Truth,Prediction,        CI,     Error
     0.125,     0.185,     0.011,     0.060
Ground Truth,Prediction,        CI,     Error
     0.150,     0.212,     0.011,     0.062
Ground Truth,Prediction,        CI,     Error
     0.175,     0.231,     0.011,     0.056
Ground Truth,Prediction,        CI,     Error
     0.200,     0.255,     0.012,     0.055
Ground Truth,Prediction,        CI,     Error
     0.225,     0.289,     0.013,     0.064
Ground Truth,Prediction,        CI,     Error
     0.250,     0.311,     0.012,     0.061
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.030,     0.007,     0.030
Ground Truth,Prediction,        CI,     Error
     0.025,     0.063,     0.008,     0.038
Ground Truth,Prediction,        CI,     Error
     0.050,     0.079,     0.009,     0.029
Ground Truth,Prediction,        CI,     Error
     0.075,     0.099,     0.009,     0.024
Ground Truth,Prediction,        CI,     Error
     0.100,     0.127,     0.010,     0.027
Ground Truth,Prediction,        CI,     Error
     0.125,     0.149,     0.010,     0.024
Ground Truth,Prediction,        CI,     Error
     0.150,     0.165,     0.010,     0.015
Ground Truth,Prediction,        CI,     Error
     0.175,     0.185,     0.011,     0.010
Ground Truth,Prediction,        CI,     Error
     0.200,     0.214,     0.011,     0.014
Ground Truth,Prediction,        CI,     Error
     0.225,     0.237,     0.012,     0.012
Ground Truth,Prediction,        CI,     Error
     0.250,     0.267,     0.013,     0.017
=====================================
