Results for vocabulary with all words 

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.046,     0.003,     0.046
Ground Truth,Prediction,        CI,     Error
     0.025,     0.074,     0.003,     0.049
Ground Truth,Prediction,        CI,     Error
     0.050,     0.097,     0.004,     0.047
Ground Truth,Prediction,        CI,     Error
     0.075,     0.117,     0.004,     0.042
Ground Truth,Prediction,        CI,     Error
     0.100,     0.141,     0.004,     0.041
Ground Truth,Prediction,        CI,     Error
     0.125,     0.164,     0.004,     0.039
Ground Truth,Prediction,        CI,     Error
     0.150,     0.185,     0.004,     0.035
Ground Truth,Prediction,        CI,     Error
     0.175,     0.205,     0.005,     0.030
Ground Truth,Prediction,        CI,     Error
     0.200,     0.231,     0.005,     0.031
Ground Truth,Prediction,        CI,     Error
     0.225,     0.251,     0.005,     0.026
Ground Truth,Prediction,        CI,     Error
     0.250,     0.275,     0.005,     0.025
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.051,     0.003,     0.051
Ground Truth,Prediction,        CI,     Error
     0.025,     0.075,     0.003,     0.050
Ground Truth,Prediction,        CI,     Error
     0.050,     0.098,     0.004,     0.048
Ground Truth,Prediction,        CI,     Error
     0.075,     0.122,     0.004,     0.047
Ground Truth,Prediction,        CI,     Error
     0.100,     0.144,     0.004,     0.044
Ground Truth,Prediction,        CI,     Error
     0.125,     0.165,     0.004,     0.040
Ground Truth,Prediction,        CI,     Error
     0.150,     0.186,     0.005,     0.036
Ground Truth,Prediction,        CI,     Error
     0.175,     0.206,     0.005,     0.031
Ground Truth,Prediction,        CI,     Error
     0.200,     0.232,     0.005,     0.032
Ground Truth,Prediction,        CI,     Error
     0.225,     0.251,     0.005,     0.026
Ground Truth,Prediction,        CI,     Error
     0.250,     0.274,     0.005,     0.024
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.034,     0.002,     0.034
Ground Truth,Prediction,        CI,     Error
     0.025,     0.056,     0.003,     0.031
Ground Truth,Prediction,        CI,     Error
     0.050,     0.081,     0.003,     0.031
Ground Truth,Prediction,        CI,     Error
     0.075,     0.102,     0.004,     0.027
Ground Truth,Prediction,        CI,     Error
     0.100,     0.121,     0.004,     0.021
Ground Truth,Prediction,        CI,     Error
     0.125,     0.146,     0.004,     0.021
Ground Truth,Prediction,        CI,     Error
     0.150,     0.166,     0.004,     0.016
Ground Truth,Prediction,        CI,     Error
     0.175,     0.186,     0.005,     0.011
Ground Truth,Prediction,        CI,     Error
     0.200,     0.210,     0.005,     0.010
Ground Truth,Prediction,        CI,     Error
     0.225,     0.234,     0.005,     0.009
Ground Truth,Prediction,        CI,     Error
     0.250,     0.252,     0.005,     0.002
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.045,     0.003,     0.045
Ground Truth,Prediction,        CI,     Error
     0.025,     0.068,     0.003,     0.043
Ground Truth,Prediction,        CI,     Error
     0.050,     0.089,     0.004,     0.039
Ground Truth,Prediction,        CI,     Error
     0.075,     0.111,     0.004,     0.036
Ground Truth,Prediction,        CI,     Error
     0.100,     0.133,     0.004,     0.033
Ground Truth,Prediction,        CI,     Error
     0.125,     0.156,     0.004,     0.031
Ground Truth,Prediction,        CI,     Error
     0.150,     0.178,     0.005,     0.028
Ground Truth,Prediction,        CI,     Error
     0.175,     0.199,     0.005,     0.024
Ground Truth,Prediction,        CI,     Error
     0.200,     0.218,     0.005,     0.018
Ground Truth,Prediction,        CI,     Error
     0.225,     0.239,     0.005,     0.014
Ground Truth,Prediction,        CI,     Error
     0.250,     0.261,     0.005,     0.011
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.041,     0.003,     0.041
Ground Truth,Prediction,        CI,     Error
     0.025,     0.071,     0.003,     0.046
Ground Truth,Prediction,        CI,     Error
     0.050,     0.092,     0.003,     0.042
Ground Truth,Prediction,        CI,     Error
     0.075,     0.114,     0.004,     0.039
Ground Truth,Prediction,        CI,     Error
     0.100,     0.135,     0.004,     0.035
Ground Truth,Prediction,        CI,     Error
     0.125,     0.158,     0.004,     0.033
Ground Truth,Prediction,        CI,     Error
     0.150,     0.179,     0.005,     0.029
Ground Truth,Prediction,        CI,     Error
     0.175,     0.202,     0.005,     0.027
Ground Truth,Prediction,        CI,     Error
     0.200,     0.221,     0.005,     0.021
Ground Truth,Prediction,        CI,     Error
     0.225,     0.244,     0.005,     0.019
Ground Truth,Prediction,        CI,     Error
     0.250,     0.266,     0.005,     0.016
=====================================
