Results for vocabulary with just adv

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.019,     0.011,     0.019
Ground Truth,Prediction,        CI,     Error
     0.025,     0.031,     0.011,     0.006
Ground Truth,Prediction,        CI,     Error
     0.050,     0.062,     0.012,     0.012
Ground Truth,Prediction,        CI,     Error
     0.075,     0.082,     0.013,     0.007
Ground Truth,Prediction,        CI,     Error
     0.100,     0.125,     0.012,     0.025
Ground Truth,Prediction,        CI,     Error
     0.125,     0.139,     0.013,     0.014
Ground Truth,Prediction,        CI,     Error
     0.150,     0.178,     0.014,     0.028
Ground Truth,Prediction,        CI,     Error
     0.175,     0.199,     0.014,     0.024
Ground Truth,Prediction,        CI,     Error
     0.200,     0.226,     0.015,     0.026
Ground Truth,Prediction,        CI,     Error
     0.225,     0.252,     0.016,     0.027
Ground Truth,Prediction,        CI,     Error
     0.250,     0.267,     0.015,     0.017
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.014,     0.011,     0.014
Ground Truth,Prediction,        CI,     Error
     0.025,     0.047,     0.011,     0.022
Ground Truth,Prediction,        CI,     Error
     0.050,     0.067,     0.012,     0.017
Ground Truth,Prediction,        CI,     Error
     0.075,     0.097,     0.013,     0.022
Ground Truth,Prediction,        CI,     Error
     0.100,     0.123,     0.013,     0.023
Ground Truth,Prediction,        CI,     Error
     0.125,     0.151,     0.013,     0.026
Ground Truth,Prediction,        CI,     Error
     0.150,     0.178,     0.013,     0.028
Ground Truth,Prediction,        CI,     Error
     0.175,     0.195,     0.013,     0.020
Ground Truth,Prediction,        CI,     Error
     0.200,     0.223,     0.014,     0.023
Ground Truth,Prediction,        CI,     Error
     0.225,     0.251,     0.014,     0.026
Ground Truth,Prediction,        CI,     Error
     0.250,     0.263,     0.015,     0.013
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.016,     0.010,     0.016
Ground Truth,Prediction,        CI,     Error
     0.025,     0.040,     0.011,     0.015
Ground Truth,Prediction,        CI,     Error
     0.050,     0.074,     0.012,     0.024
Ground Truth,Prediction,        CI,     Error
     0.075,     0.101,     0.012,     0.026
Ground Truth,Prediction,        CI,     Error
     0.100,     0.124,     0.013,     0.024
Ground Truth,Prediction,        CI,     Error
     0.125,     0.147,     0.013,     0.022
Ground Truth,Prediction,        CI,     Error
     0.150,     0.181,     0.014,     0.031
Ground Truth,Prediction,        CI,     Error
     0.175,     0.188,     0.015,     0.013
Ground Truth,Prediction,        CI,     Error
     0.200,     0.228,     0.014,     0.028
Ground Truth,Prediction,        CI,     Error
     0.225,     0.255,     0.015,     0.030
Ground Truth,Prediction,        CI,     Error
     0.250,     0.277,     0.015,     0.027
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.044,     0.012,     0.044
Ground Truth,Prediction,        CI,     Error
     0.025,     0.074,     0.013,     0.049
Ground Truth,Prediction,        CI,     Error
     0.050,     0.104,     0.012,     0.054
Ground Truth,Prediction,        CI,     Error
     0.075,     0.116,     0.014,     0.041
Ground Truth,Prediction,        CI,     Error
     0.100,     0.157,     0.014,     0.057
Ground Truth,Prediction,        CI,     Error
     0.125,     0.174,     0.014,     0.049
Ground Truth,Prediction,        CI,     Error
     0.150,     0.203,     0.014,     0.053
Ground Truth,Prediction,        CI,     Error
     0.175,     0.234,     0.014,     0.059
Ground Truth,Prediction,        CI,     Error
     0.200,     0.248,     0.014,     0.048
Ground Truth,Prediction,        CI,     Error
     0.225,     0.279,     0.014,     0.054
Ground Truth,Prediction,        CI,     Error
     0.250,     0.311,     0.015,     0.061
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.013,     0.010,     0.013
Ground Truth,Prediction,        CI,     Error
     0.025,     0.050,     0.012,     0.025
Ground Truth,Prediction,        CI,     Error
     0.050,     0.075,     0.014,     0.025
Ground Truth,Prediction,        CI,     Error
     0.075,     0.091,     0.014,     0.016
Ground Truth,Prediction,        CI,     Error
     0.100,     0.124,     0.013,     0.024
Ground Truth,Prediction,        CI,     Error
     0.125,     0.142,     0.014,     0.017
Ground Truth,Prediction,        CI,     Error
     0.150,     0.174,     0.015,     0.024
Ground Truth,Prediction,        CI,     Error
     0.175,     0.205,     0.015,     0.030
Ground Truth,Prediction,        CI,     Error
     0.200,     0.236,     0.015,     0.036
Ground Truth,Prediction,        CI,     Error
     0.225,     0.268,     0.015,     0.043
Ground Truth,Prediction,        CI,     Error
     0.250,     0.290,     0.015,     0.040
=====================================
