Results with vocabulary of all words 

CS Results: 
Ground Truth,Prediction,        CI,     Error
     0.000,     0.025,     0.003,     0.025
Ground Truth,Prediction,        CI,     Error
     0.025,     0.054,     0.003,     0.029
Ground Truth,Prediction,        CI,     Error
     0.050,     0.080,     0.004,     0.030
Ground Truth,Prediction,        CI,     Error
     0.075,     0.102,     0.004,     0.027
Ground Truth,Prediction,        CI,     Error
     0.100,     0.128,     0.005,     0.028
Ground Truth,Prediction,        CI,     Error
     0.125,     0.151,     0.005,     0.026
Ground Truth,Prediction,        CI,     Error
     0.150,     0.174,     0.005,     0.024
Ground Truth,Prediction,        CI,     Error
     0.175,     0.194,     0.005,     0.019
Ground Truth,Prediction,        CI,     Error
     0.200,     0.223,     0.005,     0.023
Ground Truth,Prediction,        CI,     Error
     0.225,     0.244,     0.006,     0.019
Ground Truth,Prediction,        CI,     Error
     0.250,     0.270,     0.006,     0.020
=====================================
EESS Results: 
Ground Truth,Prediction,        CI,     Error
     0.000,     0.026,     0.003,     0.026
Ground Truth,Prediction,        CI,     Error
     0.025,     0.053,     0.003,     0.028
Ground Truth,Prediction,        CI,     Error
     0.050,     0.077,     0.003,     0.027
Ground Truth,Prediction,        CI,     Error
     0.075,     0.103,     0.004,     0.028
Ground Truth,Prediction,        CI,     Error
     0.100,     0.130,     0.004,     0.030
Ground Truth,Prediction,        CI,     Error
     0.125,     0.150,     0.005,     0.025
Ground Truth,Prediction,        CI,     Error
     0.150,     0.172,     0.005,     0.022
Ground Truth,Prediction,        CI,     Error
     0.175,     0.194,     0.005,     0.019
Ground Truth,Prediction,        CI,     Error
     0.200,     0.220,     0.005,     0.020
Ground Truth,Prediction,        CI,     Error
     0.225,     0.243,     0.005,     0.018
Ground Truth,Prediction,        CI,     Error
     0.250,     0.267,     0.006,     0.017
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.021,     0.002,     0.021
Ground Truth,Prediction,        CI,     Error
     0.025,     0.045,     0.003,     0.020
Ground Truth,Prediction,        CI,     Error
     0.050,     0.072,     0.003,     0.022
Ground Truth,Prediction,        CI,     Error
     0.075,     0.094,     0.004,     0.019
Ground Truth,Prediction,        CI,     Error
     0.100,     0.114,     0.004,     0.014
Ground Truth,Prediction,        CI,     Error
     0.125,     0.139,     0.004,     0.014
Ground Truth,Prediction,        CI,     Error
     0.150,     0.161,     0.005,     0.011
Ground Truth,Prediction,        CI,     Error
     0.175,     0.181,     0.005,     0.006
Ground Truth,Prediction,        CI,     Error
     0.200,     0.205,     0.005,     0.005
Ground Truth,Prediction,        CI,     Error
     0.225,     0.231,     0.005,     0.006
Ground Truth,Prediction,        CI,     Error
     0.250,     0.249,     0.005,     0.001
=====================================
Phys Results: 
Ground Truth,Prediction,        CI,     Error
     0.000,     0.026,     0.002,     0.026
Ground Truth,Prediction,        CI,     Error
     0.025,     0.052,     0.003,     0.027
Ground Truth,Prediction,        CI,     Error
     0.050,     0.075,     0.003,     0.025
Ground Truth,Prediction,        CI,     Error
     0.075,     0.100,     0.004,     0.025
Ground Truth,Prediction,        CI,     Error
     0.100,     0.122,     0.004,     0.022
Ground Truth,Prediction,        CI,     Error
     0.125,     0.146,     0.004,     0.021
Ground Truth,Prediction,        CI,     Error
     0.150,     0.170,     0.004,     0.020
Ground Truth,Prediction,        CI,     Error
     0.175,     0.191,     0.005,     0.016
Ground Truth,Prediction,        CI,     Error
     0.200,     0.212,     0.005,     0.012
Ground Truth,Prediction,        CI,     Error
     0.225,     0.235,     0.005,     0.010
Ground Truth,Prediction,        CI,     Error
     0.250,     0.258,     0.006,     0.008
=====================================
Stat Results: 
Ground Truth,Prediction,        CI,     Error
     0.000,     0.020,     0.002,     0.020
Ground Truth,Prediction,        CI,     Error
     0.025,     0.051,     0.003,     0.026
Ground Truth,Prediction,        CI,     Error
     0.050,     0.074,     0.003,     0.024
Ground Truth,Prediction,        CI,     Error
     0.075,     0.098,     0.004,     0.023
Ground Truth,Prediction,        CI,     Error
     0.100,     0.123,     0.004,     0.023
Ground Truth,Prediction,        CI,     Error
     0.125,     0.144,     0.005,     0.019
Ground Truth,Prediction,        CI,     Error
     0.150,     0.168,     0.005,     0.018
Ground Truth,Prediction,        CI,     Error
     0.175,     0.189,     0.005,     0.014
Ground Truth,Prediction,        CI,     Error
     0.200,     0.211,     0.005,     0.011
Ground Truth,Prediction,        CI,     Error
     0.225,     0.236,     0.005,     0.011
Ground Truth,Prediction,        CI,     Error
     0.250,     0.257,     0.006,     0.007
=====================================
