All words in vocabulary 

CS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.049,     0.005,     0.049
Ground Truth,Prediction,        CI,     Error
     0.025,     0.075,     0.005,     0.050
Ground Truth,Prediction,        CI,     Error
     0.050,     0.099,     0.006,     0.049
Ground Truth,Prediction,        CI,     Error
     0.075,     0.126,     0.006,     0.051
Ground Truth,Prediction,        CI,     Error
     0.100,     0.152,     0.006,     0.052
Ground Truth,Prediction,        CI,     Error
     0.125,     0.175,     0.007,     0.050
Ground Truth,Prediction,        CI,     Error
     0.150,     0.197,     0.007,     0.047
Ground Truth,Prediction,        CI,     Error
     0.175,     0.217,     0.007,     0.042
Ground Truth,Prediction,        CI,     Error
     0.200,     0.245,     0.008,     0.045
Ground Truth,Prediction,        CI,     Error
     0.225,     0.274,     0.007,     0.049
Ground Truth,Prediction,        CI,     Error
     0.250,     0.296,     0.008,     0.046
=====================================
EESS Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.058,     0.005,     0.058
Ground Truth,Prediction,        CI,     Error
     0.025,     0.090,     0.006,     0.065
Ground Truth,Prediction,        CI,     Error
     0.050,     0.113,     0.006,     0.063
Ground Truth,Prediction,        CI,     Error
     0.075,     0.138,     0.006,     0.063
Ground Truth,Prediction,        CI,     Error
     0.100,     0.166,     0.007,     0.066
Ground Truth,Prediction,        CI,     Error
     0.125,     0.190,     0.007,     0.065
Ground Truth,Prediction,        CI,     Error
     0.150,     0.213,     0.007,     0.063
Ground Truth,Prediction,        CI,     Error
     0.175,     0.237,     0.007,     0.062
Ground Truth,Prediction,        CI,     Error
     0.200,     0.262,     0.007,     0.062
Ground Truth,Prediction,        CI,     Error
     0.225,     0.282,     0.008,     0.057
Ground Truth,Prediction,        CI,     Error
     0.250,     0.311,     0.008,     0.061
=====================================
Math Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.079,     0.007,     0.079
Ground Truth,Prediction,        CI,     Error
     0.025,     0.116,     0.008,     0.091
Ground Truth,Prediction,        CI,     Error
     0.050,     0.148,     0.008,     0.098
Ground Truth,Prediction,        CI,     Error
     0.075,     0.181,     0.008,     0.106
Ground Truth,Prediction,        CI,     Error
     0.100,     0.210,     0.008,     0.110
Ground Truth,Prediction,        CI,     Error
     0.125,     0.240,     0.009,     0.115
Ground Truth,Prediction,        CI,     Error
     0.150,     0.269,     0.009,     0.119
Ground Truth,Prediction,        CI,     Error
     0.175,     0.292,     0.009,     0.117
Ground Truth,Prediction,        CI,     Error
     0.200,     0.314,     0.009,     0.114
Ground Truth,Prediction,        CI,     Error
     0.225,     0.349,     0.009,     0.124
Ground Truth,Prediction,        CI,     Error
     0.250,     0.365,     0.009,     0.115
=====================================
Phys Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.054,     0.005,     0.054
Ground Truth,Prediction,        CI,     Error
     0.025,     0.076,     0.006,     0.051
Ground Truth,Prediction,        CI,     Error
     0.050,     0.110,     0.006,     0.060
Ground Truth,Prediction,        CI,     Error
     0.075,     0.131,     0.006,     0.056
Ground Truth,Prediction,        CI,     Error
     0.100,     0.150,     0.007,     0.050
Ground Truth,Prediction,        CI,     Error
     0.125,     0.177,     0.007,     0.052
Ground Truth,Prediction,        CI,     Error
     0.150,     0.192,     0.008,     0.042
Ground Truth,Prediction,        CI,     Error
     0.175,     0.216,     0.008,     0.041
Ground Truth,Prediction,        CI,     Error
     0.200,     0.243,     0.008,     0.043
Ground Truth,Prediction,        CI,     Error
     0.225,     0.265,     0.008,     0.040
Ground Truth,Prediction,        CI,     Error
     0.250,     0.286,     0.008,     0.036
=====================================
Stat Results:
Ground Truth,Prediction,        CI,     Error
     0.000,     0.054,     0.006,     0.054
Ground Truth,Prediction,        CI,     Error
     0.025,     0.085,     0.006,     0.060
Ground Truth,Prediction,        CI,     Error
     0.050,     0.110,     0.007,     0.060
Ground Truth,Prediction,        CI,     Error
     0.075,     0.136,     0.007,     0.061
Ground Truth,Prediction,        CI,     Error
     0.100,     0.163,     0.007,     0.063
Ground Truth,Prediction,        CI,     Error
     0.125,     0.184,     0.007,     0.059
Ground Truth,Prediction,        CI,     Error
     0.150,     0.209,     0.008,     0.059
Ground Truth,Prediction,        CI,     Error
     0.175,     0.237,     0.008,     0.062
Ground Truth,Prediction,        CI,     Error
     0.200,     0.251,     0.008,     0.051
Ground Truth,Prediction,        CI,     Error
     0.225,     0.281,     0.008,     0.056
Ground Truth,Prediction,        CI,     Error
     0.250,     0.306,     0.008,     0.056
=====================================
